Hate_Speech,Counter_Narrative,Counter_Type,Target_Group
"سراین قضیه وکالت فهمیدم که بر خلاف این که میگن ایرانیا باهوشن اتفاقاً خیلی هم کودن و خنگ تشریف دارن.
یه مطلب به این سادگی رو واقعاً نمی‌تونید درک کنید
این وکالت نه برای تشکیل حکومته نه کاری به بعد از ج‌ا داره فقط برای اینه که بتونه با مقامات و افراد تأثیرگذار مذاکره کنه همین تمام",آیا مدرک معتبری داری که حرفت را درباره هوش ایرانی ها اثبات کند؟ چون براساس آمار World Population Review، ایران جزو کشور هایی با IQ بالا هست.,"Fact-based, Counter questions",گروه ملیتی
باوجود لجن بودن انگلیس خبیث و عمله‌های داخلی و خارجی اش 🇬🇧،اینکه #رعنا_رحیم_پور میگه کشورهای منطقه خصوصا عربستان سعودی ایران قوی و یکپارچه نمیخواهند،درسته و در ادامه ی همان سیاست های مداخله جویانه و تجزیه طلبانه انگلیس خبیث هستش،که با خود به گور خواهند برد! ایران هرگز تجزیه نمیشه,دشمنی هیچ سودی برای ما ندارد. ما باید دست به دست هم برای کشورمان تلاش کنیم.,"Denouncing, Positive response",گروه ملیتی
"تمامیت طولی و عرضی جغرافیای جعلی عیران هیچ وقت برای کورد،تورک ،بلوچ، گیلک ، کاسپی ، لور ، عرب ، تورکمن و... مهم نیست و اصلی ترین هدف ملتهای تحت یوغ این جغرافیای جعلی نابودی اسم نجس عیران و محو شدن این نام از نقشەی جهانە 
#ریدم_تو_عیران 
#ریدم_تو_کورش
#ریدم_تو_پهلوی 
#خلیج_عربی",ایران کشوری تاریخی با فرهنگ غنی می باشد. مردم قوم های مختلف مثل تورک، کورد، بلوچ و غیره هم محکم پشت ایران ایستاده اند.,Fact-based,گروه ملیتی
احتمال اینکه تو ایران به وسیله اعدام بمیری واقعا بالاست,بر چه اساسی؟ منبعی داری که این احتمال را تایید کند؟,Counter questions,گروه ملیتی
"۱۳تا #افغانی رو قاچاقی کردن تو یه سمند ایست دادن گوش نکردن
تیرهوایی زدن واینستادن
لاستیکش روزدن بازم روی رینگ رفته
اخرش رینگ جرقه زده ماشین آتیش گرفته خورده توگارد ریل چند تاشون مردن چند تاشون شدید سوختن حالا دارن میگن ما چون افغان ایم باهامون این رفتار شده
چقدر پررو اید بیناموسا",به جای فحاشی بهتر هست اخبار دقیق را با منبع انتشار بدهیم تا مردم افغان ها هم آگاه شوند.,Positive response,گروه ملیتی
حاضرم کیرمو ببرم بندازم جلو سگ ولی افغانی نکنم تخم حرام,این حرفت خیلی توهین آمیزه و عملا چیزی به جز نژادپرستی نداره.,Denouncing,گروه ملیتی
قدرت یعنی عبا تنِ مسی کردن. نه گوز‌گوز.,نه اتفاقا قدرت در همبستگی مردمه نه حرف خالی,Positive response,گروه ملیتی
مادر جنده !دختر افغانی با عزت و عفت است بروید از خود ایران تان زن بگیرید که جنده های تان کم شود از بس شما مرد های ایرانی بی خاسیت استید تمام زن های تان جنده و فاحشه شده اند همچو مرد فغان را سراغ ندارم که ایران آمده باشد و مهمان یکی از دختران ایرانی نشده باشد,لطفا به جای فحاشی و توهین، بیایید احترام و انسانیت را بین همه نگه داریم. همه مردم جهان چه مرد چه زن، چه ایرانی چه افغانی، شایسته احترام هستند.,Positive response,گروه ملیتی
اگر امروز اقدام نکنید فردا در ایران جایی برای شما نیست و هرگز از دست چینی ها رها نخواهید شد مثل مور و ملخ در کشور رشد میکنند و نسل اندر نسل افزایش پیدا میکنند,چینی ها آدم های بسیار باهوش و پر تلاشی هستند. حضورشان در کشورما باعث پیشرفت می شود.,Fact-based,گروه ملیتی
دیگر مزدوران افغانی های غار نشین و تریاک فروش و مزدور آخوک ها! مسلح شوید و رحم نکنید!!!,با رواج دادن خشونت و تفرقه پراکنی چیزی حاصل نمی شود!,Denouncing,گروه ملیتی
"#جمهوری_اسلامی هر وقت تو منطقه کم‌میاره دو تا موشک میزنه به اسراییل و میره با #عربستان مذاکره کنه و عربستان رو برادر خود بر میشمارد!! 
یعنی عربستان اینقدر خره که باور کنه؟
#نه_به_جمهوی_اسلامی 
#رای_بی_رای",حالا نباید به کشور عربستان توهین کنیم. ولی در کل به جای موشک و مذاکره‌ی نمایشی، کاش #جمهوری_اسلامی به فکر مردم خودش باشه. این بازی‌ها نه منطقه رو آروم می‌کنه، نه کسی رو گول می‌زنه.,"Denouncing, Positive response",گروه ملیتی
"کامران نجف زاده دیوث توی خاک آمریکا از آمریکا بد میگه،خاک تو سر امریکا بکنن که این الدنگ رو اخراج نمیکنه
خوب شمای کثافت هم اجازه بدید یک خبرنگار امریکایی بصورت آزاد اینجا کار کنه",آزادی بیان باید همه جای دنیا آزاد باشد. چه ایران و چه آمریکا!,Positive response,گروه ملیتی
"چهارتا سگ افغانی کشته شدن که شدن به درک،که چی؟
مشخصا بنده اگر چنین جنایتی علیه اتباع اروپایی اتفاق میفتاد یا اتباع روس علیه حکومت«ایران» با هر اسمی از شاهنشاهی تا جمهپری اسلامی لباس رزم میپوشیدم.ولی آخه چهارتا سگ افغانی:/ که جی مثلا؟خب مردن؟به درک به جهنم به اسفل السافلین.",بی تفاوتی نسبت به زندگی انسان ها درست نیست. همه ما در این کره خاکی حق زندگی داریم و باید از نژادپرستی پرهیز کنیم.,Denouncing,گروه ملیتی
جامعه كنوني افغاني بين جنايت كاران تقسيم شده است ، هر جنايتكاري مرده و زنده هواداران احمق در بين جامعه افغاني را دارند و از رهبر اي جنايتكار خود دفاع ميكنند ،وهر جنايتكار براي شان قهرمان ملي است ، شرم آور است .,بر چه اساسی این حرف را میزنی؟ بنظرت درمورد مردم افغانی کلی گویی نمیکنی؟ هیچ جنایتکاری بین مردم نباید محبوب باشد.,Counter questions,گروه ملیتی
"إن شاء الله به زودی زود حرمین شریف در بقیع را احداث خواهیم کرد و آن روز نزدیک است .
به ٱمید نابودی آل سعود إن شاءالله
#استان_قدس_حسنی 
#مجلس_طراز_انقلاب",چه آرزوی وحشتناکی! چرا باید نابودی یک ملیت برای ما سودی داشته باشد؟ ما باید با منطق دنبال تغییری که میخواهیم باشیم.,Denouncing,گروه ملیتی
"فرهنگستانِ زبان و ادبِ فارسی به‌جایِ واژه‌یِ ""ایدز"" کلمه‌یِ ""ناکا"" را پیشنهاد داده است که مخففِ ""نشانگانِ اکتسابیِ کمبودِ ایمنی"" هست!
اینجا جا دارع بگیم وات دِ فاز ؟😐

#وزیر_افغانی",خب مسخره کردن فایده ای نداره. بهتره انتقادمان را به گوش فرهنگستان زبان و ادب فارسی برسانیم تا کلمات ساده تر و جذاب تری پیشنهاد بدهند.,Positive response,گروه ملیتی
"من نمیدونم این افغانیا کی میخوان از این مملکت برن 😐🤦🏻‍♂️
کل فرصت شغلی ایرانیا رو دزدین لاشیا با نصف پولی ک باید بگیرن کار میکنن خومعلومه ب فرض مثال منه برج ساز ساختمون ساز هرگهی میرم افغانی میارم ایمو داشتیم اومدن ریدن توش
بیگو لایو داشتیم اومدن ریدن توش
اینستا داشتیم ریدن توش",نژادپرستی باعث پسرفت یک جامعه میشود. افغانی ها با مشغول در شغل های پایه به ما کمک میکنند تا بیشتر روی حرفه های تخصصی تمرکز کنیم.,"Fact-based, Denouncing",گروه ملیتی
"پارسی زبان ها در کشور اکثریت مطلق بوده و درین جای شکی نسیت و هرگونه‌ بحث درین مورد بی‌‌جا بوده ودلیل عقلانی ندارد.
گویندگان زبان افغانی هم یک اقلیت کوچک قبیله و صحرا نشین بوده که در حدود یک قبیله بنام کوچی خلاصه می‌شوند.  متباقی افغان هااز انسوی دیورند ناقل هستند و اینجا مهاجراند",مهاجران کمک های زیادی برای پیشرفت یک کشور از لحاظ اقتصادی میکنند. هر چقدر یک کشور مهاجر پذیرتر باشد وضعیت زندگی مردم از لحاظ اقتصادی نیز بهتر خواهد بود.,"Contradiction, Fact-based",گروه ملیتی
هیچ حکومتی و هیچ کسی نمی توانست اینگونه از مردم خایین و کون گشاد و احمق و ساده لوح و خرافاتی و کودن و نادان و ترسو و بی غیرت ایرانیان انقام حکومت پهلوی را بگیرد از این جهت این حکومت سزاوار تقدیر و تشکر است,به جای توهین به مردم، بیایم از تاریخ درس بگیریم و برای آینده بهتر تلاش کنیم. هیچ حکومتی با تحقیر ملت بزرگ نمی‌شه.,Positive response,گروه ملیتی
باور کردنی نیست یه مشت افغانی اشغال اومدن تو کشور ما درارن به به ناموس ایرانی تجاوز میکنن و راست راست میچرخن ج ا هم که خودش کلا این برنامه رو ریخته و کاریشون نداره ولی غیرت ما کجا رفته بشینیم و سکوت کنیم نوبت تک تکمون میرسه...,هرگز نباید درمقابل تجاوز سکوت کرد. فارغ از هر ملیتی باید جلوی تجاوز را گرفت. باید به جای فحاشی مورد های تجاوز را آشکار کنیم و به پلیس اطلاع دهیم.,Positive response,گروه ملیتی
وای پسر مادر قطرو گاییدم ریدن تو عکس مسی اون عبا عمامه چیه دادن بهش😭😭😭😭,عزیز فحاشی اصلا درست نیست. هر انتقادی داریم باید در قالب ادب بیان کنیم.,"Denouncing, Positive response",گروه ملیتی
"سگ برینه به فلسطین وفلسطینی
#Palestin
#روز_قدس",هر ملیتی شایسته عذت و احترام هست.,Positive response,گروه ملیتی
بی تی اس نمیدونم چه کسشریه واقعا همین افغانی ها رو رنگ کنید میشن بی تی اس احمقا,بی تی اس یک بند موسیقی بسیار معروف و موفق هستند. مسخره کردن و توهین کردن به افغانی ها چه دردی از ما ها را دوا میکند؟,"Fact-based, Denouncing",گروه ملیتی
"ترکای بیغیرت حرومزاده که سگهای عالم برینند دهان مادرقهبه شون حرومزاده های بیشرف
باید زن قهبه باردارشو اونقدر زد بچه حرومزادشو تو شکمش کشت",به جای فحش و خشونت، بیایم با احترام به هم، تفرقه رو کنار بذاریم. هیچ‌کس با نفرت بزرگ نمی‌شه.,Positive response,گروه ملیتی
"محدود کردن بعضی اکانت های انقلابی  یعنی تونستیم روز قدس مجازی خوبی داشت باشیم .
مرگ بر اسرائیل 
مرگ بر اسرائیل 
مرگ بر اسرائیل
و...
#QudsDay 
#Palestine",به جای مرگ گفتن بیایید صلح و دوستی را در جهان تقویت کنیم.,Positive response,گروه ملیتی
باز برمیگردیم به میانگین ضریب هوشی ایرانیان که با ملخ بیابان کالاهاری برابری میکنه,مدرکی بر این حرفت داری؟ براساس آمار، ضریب هوشی مردم ایران جزو بالاترین ها می باشد.,"Fact-based, Counter questions",گروه ملیتی
مِن بعد ، شخصا اگر دیدم افغانی ای به دختری تیکه میندازه ( قبلا‌ زیاد میدیدم ولی بقولی روشنفکری در میاوردم و چیزی نمیگفتم) همونجا راست راست ننشو میگام,اگر شخصی فارغ از ملیت مزاحم دیگری شود باید محترمانه هشدار بدهیم یا پلیس را در جریان بگذاریم,Positive response,گروه ملیتی
"واقعا افسوس است....
من هم از دوستان که با یک دسترخوان افغانی نان یک دیګر خوردیم حرف های تعصب میزند...
 وجدان فروخته که از حقیقت چشم پوشی میکنند...
پس مام مجبور میشویم که حقیقت برای شان بیان کنیم....
افسوس است به چنین افغان های پست و نمک حرام...!!؟

یو غږ یو ملت 
یک ملت یک صدا",بیایید به جای تفرقه افکنی، صلح و دوستی را در دنیا رواج دهیم.,Positive response,گروه ملیتی
ایرانیا همونایی بودن که پز می‌دادن به خودشون چون اون دوره ایی که عربا دخترا رو زنده به گور میکردن اونا داشتن تو علم پیشرفت میکردنو دخترا رو برکت خونه میدونستن، الان خود ایرانیا دختراشون رو توی همچین دوره ایی ‌که عصر علمو پیشرفته دارن میکشن اونم به روش مدرن!!++,متاسفانه بعضی مردم عقیده های کورکورانه و افراطی دارند. باید با آگاه سازی جوامع جلوی چنین اتفاقات را بگیریم.,Positive response,گروه ملیتی
"زیباکلام هم این غربگدایی و پاچه خواری غربیهارو رهاکنه؛ #صداوسیما قسم خورده رهانکنه😡😡الان پخش سریال پرستاران انگلیسی دراین وضعیت جز #غربگدایی #صدا_و_سیما چه معنی داره؟🤔😡
#ویروس_کووید19 #غرب_بدون_روتوش",غرب، شرق، شمال، و جنوب! هرچی! ما باید به جای ترویج نفرت از برنامه هایی که پخش می شوند لذت ببریم. اگر هم جالب نبودن خب تماشا نمیکنیم.,Positive response,گروه ملیتی
"افغانی ها هم موجب رنجش افغانستانن هم ایران
کوه های هندوکش را از خون افغانه رنگین خواهیم کرد تا کشور تاجیک ها برای همیشه پاک شود",ما باید به جای نفرت، صلح و همزیستی را ترویج دهیم. خونریزی هیچ مشکلی را حل نمی‌کند و تنها رنج بیشتری به بار می‌آورد. همه انسان‌ها، از هر قوم و کشوری، شایسته احترام و زندگی آرام هستند.,"Positive response, Warning of Consequences",گروه ملیتی
"تبار و نژاد قائل شدن برای تاژیک های کویرستان(ایران) یک اشتباه تاریخی هست
در منابع مختلف از این دسته که بجز زبان مولفه هویتی اتنیکی دیگری ندارند بعنوان یک دار و دسته یا یک طبقه (دهقانان) یاد شده.",ولی هویت تاژیک ها ترکیبی از زبان، فرهنگ و تاریخ مشترک است که باید به‌عنوان غنای فرهنگی دیده شود.,Fact-based,گروه ملیتی
از مردمی که سر استقلال پرسپولیس چاقو میکشن توقع نداشته باش به سلایق هم احترام بزارن,متاسفانه هرگونه تعصب افراطی و کورکورانه سم هست. باید از فوتبال لذت برد و دست از تعصب های افراطی برداشت.,"Fact-based, Positive response",گروه ملیتی
خلبان فداکاری کرده نپریده بیرون که نزنه به منطقه مسکونی ؟ میدونسته مدرسه تعطیله زده اونجا ؟ خفه شین باباااا . جنگنده ۵۰ سال پیش دیگه الان فرغونه . دکمه ایجکتش کار نکرده اونا هم پرپر شدن. صدتا جنگنده بده یه خلبان نده . وقتی چمدون چمدون دلار رو میدی به پاپتی های اعراب همین میشه,بهتر نیست به جای فحاشی به دنبال تلاش و اعتراض یرای این مشکل باشیم؟,Counter questions,گروه ملیتی
"ولی من مطمئنم کرونا تو اصفهان بیشتر شایع میشه
چون همیشه مثه مور و ملخ چینی ریخته اصفهان
کاش نمیریم 😭",کرونا یک بیماری واگیردار هست که ممکن هست از هر انسانی به دیگری منتقل شود. چه ربطی به ملیت دارد؟,"Fact-based, Counter questions",گروه ملیتی
عراقی تبار و هندی زاده و تازی پرستان باید از ایران زمین مان کوچ کرده و به قبرستان های نجف اشرف پناهنده شده و شغل اول و آخرشان را که همان روضه خوانی هست برگزیدند و فقط تنها دغدغه ای که دارم تازی پرستان هستند که اگر از اول خیزش به پا نخیزند بایددنبال گدایی باشن,این حجم از تنفر نسبت به ملیت ها و نژاد ها اشتباهی بیش نیست. بهتر نیست صلح و دوستی را سر لوحه قرار بدیم؟,"Denouncing, Counter questions",گروه ملیتی
"افغاني پناهگير نامنظور
#DeportAllRefugees",آیا قبول دارید که افغانی ها به جز اینکه پناهنده هستند، یک انسان می باشند؟ آنها که بی دلیل کشور خود را ترک نکرده اند!,Denouncing,گروه ملیتی
این خوبه ، معلم ما توی کلاس می‌گفت بچه ها اگه بخوان چشم یه  افغانی رو ببند از نخ استفاده میکنند از بس کوچیک و تنگه ، بعد کل کلاس از خنده می‌رفت هوا #StopHazaraGenocide,این یک رفتار بسیار زشتی از یک معلم تحصیل کرده هست. مسخره کردن افراد ملیت های دیگر هیچ سودی ندارد. ما باید برادری و دوستی را با افغانی ها رواج دهیم.,"Denouncing, Positive response",گروه ملیتی
"غربی ها از هر چی ایران دردشون میگیره میگن فتوشاپه :)))
نمونش همین پهپاد و موشک و راهپیمایی ها",آنها انسان های عادی هستن که تحت تاثیر فضای مجازی اخبار را دنبال میکنند. نباید توهینی کنیم.,Positive response,گروه ملیتی
"بعد از کار توی معدن ، اسرائیلی بودن سخت ترین کار دنیاست .داری میری ترکیه و امارات به خودت مشروعیت بدی،موشک میخوره تو سره پایگاهت ،هنوز پایگاهت داره دود میکنه که تیم جاسوسیتو میگیرن .هنوز نفهمیدی کدوم جاسوساتو گرفتن که حمله سایبری میشه بهت و کلا همه چیت میره روی هوا :)))
#اسقاطیل","نفرت، راه‌حل نیست؛ انسانیت را فراموش نکنیم.
خشم، جای حقیقت را نمی‌گیرد و جنگ، جای عدالت را.
صلح برای همه‌ ما بهتر است؛ حتی برای آن‌هایی که نمی‌شناسیم.
#نه_به_نفرت",Positive response,گروه ملیتی
به ایرانیا باید توهینِ مستقیم کرد تا یه‌چیزی رو بفهمن. مثلاً اگه کرونا زبون داشت و حق طلاقِ زن‌هارو نفی می‌کرد، الان ریشه‌کن شده بود.,اتفاقا ایرانی ها انسان های بسیار باهوشی هستند. درضمن توهین کردن و مسخره کردن هیچ سودی نداره!,"Fact-based, Denouncing",گروه ملیتی
افغانی جماعت اینقدر تنبلن که پاشو از رو مار بر نمیداره، ممکنه تا شب از گشنگی بمیره ولی تنبلی میکنه بره کار کنه، راحت طلبن در کل، اونایی که میرن ایران واسه کارگری فقط برای کارگری نمیرن یه چی دگه هم که دوست دارن :)),الان حرف تو کاملا کلی گویی درمورد همه افغانی هاست. چه مدرکی داری که باعث بشه این حرفت برای همه مردم افغانی صدق کند؟,"Denouncing, Counter questions",گروه ملیتی
"پسر باشی میبرنت سربازی خودکشی کنی
دختر باشی میبرنت وزرا بمیری
مرده باشی سنگ قبرتو میشکنن
سگ باشی میکشنتون
درخت باشی میسوزنن یا قطع میکنن
دریاچه باشی خشکت میکنن
سنگ و کوه باشی نابودت میکنن
اینجا کجاس ما داریم زندگی میکنیم؟؟؟
#مهسا_امينى 
#امیرحسن_خادمی",درسته که خیلی سختی کشیدیم ولی باید امیدمان را حفظ کنیم. با همبستگی و همدلی وضعیت را تغییر می دهیم. #ما_میتوانیم.,Positive response,گروه ملیتی
"ایرانی توسری‌خور از افغانی
پتک افاغنه بر سر فارس‌های کولی هندی

50 (پنجاه) روز تجاوز وحشیانه 
50 (پنجاه) روز تجاوز گلّه‌ای (دسته‌جمعی) افاغنه به دختر معلول ایرانی در ایران اشغال‌شده.

افغانی‌های شغال آشغال اشغالگر ایران هر غلطی می‌خواهند می‌کنند.",افغانی ها انسان های بسیار تلاشگر و رنج دیده هستند که خدمات زیادی هم به شغل ها پایه در ایران میکنند. ولی اگر مرتکب جرمی بشوند بايد از طريق قانون مجازات بشن نه با توهين ما.,Fact-based,گروه ملیتی
"عربستان حمله موشکی ایران به پایگاهای آمریکارو محکوم کرده.
کاش دوتا موشک میزدیم توو ریاض تا اینا برای همیشه خفه میشدن.",تا وقتي كه گفت و گو سالم و مسالمت آميز هست، جنگ و خونريزي چرا؟,Denouncing,گروه ملیتی
"اگه موجودات فضائی به زمين بيان:

ژاپنی ها : چطوری از علم پيشرفته اونها استفاده كنیم؟!
روس ها : سفينه، تسليحات و تجهيزاتشون رو چجوری کش بریم؟!
آمريكايی ها : چطور باهاشون بجنگيم و نابودشون كنيم؟!
ایرانیا ( مردان پارسی 😂): آيا صیغه با زن فضائی شرعاً جائز است؟!! 😑😐😂😂
#حق",بنظرت اين يك كليشه درمورد ايراني ها نيست؟ ايراني ها افرادي بسيار باهوش و غني از تاريخ، انسانيت و فرهنگ هستند.,"Fact-based, Counter questions",گروه ملیتی
"وقتی پدافند ایران هواپیمای اوکراین رو اشتباهی زو اومدن گفتن ایرلن نخبه ها رو میکشه 
وقتی خود حروم زادشون امریکا و اسراییل به هواپیمای ایرانی تعرض میکنن همه مسافرها سپاهی بودن و هواپیما داشته اسلحه و پول برای حزب الله میبرده 
به این نوع خبر رسانی میگن حرام زادههای رسانهای بیشرف",جان انسان ها چه ايراني، چه آمريكاييو چه اسرائيلي بازي رسانه اي نيست. به جاي نفرت بياييد صلح و دوستي را رواج دهيم.,Positive response,گروه ملیتی
کاش عیسی رو دعوت کرده بود تیم ملی انتقامشو از این چشم تنگای کسکش میگرفت,چرا بايد اصلا نژاد پرستي را در ورزش دخالت دهيم؟ ما موظفيم از تيم ملي حمايت كنيم نه اينكه به دنبال انتقام جويي باشيم,"Counter questions, Positive response",گروه ملیتی
"توی تیک تاک زنهای پاکستانی عرب بنگلادشی محجبه سفت و سخت ساکن انگلیس دارن از مشکلات زنان ایران میگن که آزادی پوشش ندارن و بخاطر حجابشون تا حد مرگ کتک میخورن و میمیرن. 
بشین بابا. تو وسط لندن جرات نداری از ترس قتل ناموسی و اسیدپاشی شوهر و برادرت  حجابت رو در بیاری. تو یکی خفه شو.",به جاي نفرت، بياييد از حقوق زنان در همه جاي دنيا دفاع كنيم. چه زنان ايراني چه پاكستاني و چه بقيه مليت ها,Positive response,گروه ملیتی
"انسان اغلبا ارزش هایش را از متن (آیات کتب ادیان) نمی گیرد، بلکه ارزش های خود را وارد متن می کند.
به همین خاطر است که افغانی آتییست و مسلمان اش زن ستیز است، تندرو است، بنیاد گرا است، شدت پسند است...",اين حرفت اشتباه هست. مثل همه كشورها افغاني هاي خوب و بد هم وجود دارند و ما نبايد كلي گويي كنيم. نه هر مسلماني زن ستيز هست و نه هر افغاني افراطي!,Denouncing,گروه ملیتی
مدارک داره جمع میشه که هر کی گفت افغانی های مهاجر بدون قانون هم حق دارن دهنشو بگام,این حرف‌ها فقط نفرت رو بیشتر می‌کنه. مهاجرها هم انسانن و حق دارن با احترام باهاشون رفتار بشه. بیایم به جای فحش و توهین، دنبال راه‌حل باشیم.,Positive response,گروه ملیتی
"دکتر میگفت؛
«باید به شهاب سنگ بخوره به ایران کلا این نسل و ماها از بین بریم، مردمی داریم حیوان آزار(خودش پناهگاه حیوانات داره)، پدرومادر ها بد، بچه ها احترام بزرگتر ها رو نگه نمیدارن ، مردم اهل همههه جور خلاف شدن و‌ مسلمون هم هستیم...»",به جاي از بين رفتن مي توانيم علم و آگاهي را در جامعه رواج دهيم تا به وضعيت ايده آل برسيم.,Positive response,گروه ملیتی
امان از دست این چینیها ، این خفاش خورها مرزهای نژادپرستی رو درنوردیدند.بعد اینجا به سری میگن نگید ویروس چینی نژادپرستیه.صد رحمت به استعمار پیر و نو ، اینها ابرقدرت بشند دنیا رو میبلعند و تخم بشر غیر خودشونو مثل ملخ میخورند!,اين حرف تو صرفا يك كليشه هست كه اتفاقا منشا آن از نژادپرساي ميباشد. چيني ها هم مثل بقيه ملت ها آدم هاي متنوعي هستند و نبايد درمورد آنها كلي گويي كنيم. به نظرت با صلح و دوستي جهان جاي بهتري نيست؟؟,"Denouncing, Positive response, Counter questions",گروه ملیتی
"پاپ چرا رفته عراق در صورتی که اگر خود را رهبر مسیحیت میداند باید به تهران می آمد
اهداف شوم صهیونیست مسیحی را فقط خدا میداند",پاپ براي ترويج آشتي و همبستگي بين اديان به عراق سفر كرد نه بخاطر دسيسه اي شوم. به جاي نفرت پراكني بياييد ميان اديان صلح و دوستي را رواج دهيم.,"Fact-based, Positive response",گروه ملیتی
"وقتی موساد ریز ریز میاد و بالاخره حرف اصلیشو میزنه،
صهیونیستا همیشه نژاد پرست بودن یزیدم که فامیلتونه 
همه مثل شما#دروغ_هولوکاست برای تاریخ خلق نمیکنن داداش شما برو دامن پیغمبراتو از گناهای کبیرشون پاک کن بعد بیا زر بزن
دروغ تو ذات شما صهیونیستاست",به جاي فحش دادن بهتر نيست منطقي حرف بزنيم؟ تاريخ را با دروغ نميشه عوض كرد. همه انسان هاي يكي هستند چه يهودي ها چه مسلمان ها و چه اديان ديگه.,"Counter questions, Positive response",گروه ملیتی
"در #انتخابات این دوره هم فت و فراوان #سلبریتی داریم اما جنسشان فرق کرده و به قماش 
جبرائیلی ها و ثابتی ها و دانا ها و... تغییر یافته‌ است.

شعار انتخاباتی من : هر ایرانی یک احمق",با منطق و استدلال بيان كردن سخنان خود بهتر از فحاشي هست.,Positive response,گروه ملیتی
"این همه پرچم اکراین دلیل خاصی دارد مو مشکی‌‌های غیر مسیحیِ غیر سفیدپوستِ چشم سیاه؟
چندتا غربی‌ را دیده‌اید که پرچم افغانستان و سوریه و عراق را چسبانده باشند به پروفایل مبارکشان؟
کمتر جوگیر باشیم.

پوتین و غرب بروند به درک!
هرچه می‌کشیم از این بی‌شرف‌هاست.",ما با بقيه كاري نداريم كه چيكار ميكنند. در كل جنگ يك چيز وحشتناكيه! چه در اوكراين باشه چه در افغانستان و چه در سوريه.,Denouncing,گروه ملیتی
"چهل سال پیش نه جمکرانی بود 
 نه راهپیمایی اربعین
نه شیرخوارگان حسینی 
 نه ایام فاطمیه،
مردم ایران تنها مردمی هستند که 
در حال ابداع خرافات هستند!
در عصر علم قرن 21 تمام کشورها تو پیشرفت علمی ,اقتصادی ,فناوری, ایران هر روز پس رفت به جهالیت نادانی ,خرافات 1400سال پیش بربریت اعراب",هر مليتي يك سري باور ها و عقايدي دارند كه شايد از نظر ما منطقي نباشد. ما بايد براي آنها احترام بگذاريم. درضمن، ايران كشوري بسيار پيشرفته از لحاظ پزشكي و فناوري نانو مي باشد. چرا چشم به اين واقعيت ها بسته ايم؟,"Fact-based, Positive response",گروه ملیتی
"روز جهانی قدس؛محو روحدت امت اسلامی،شکست خط سازش بارژیم غاصب صهیونیستی
#القدس_هی_المحور
#FreePalestine",بياييد به جاي تفرقه افكني و نفرت براي آينده اي بهتر تلاش كنيم!,Positive response,گروه ملیتی
"زشت ترین الفاظ و کامنتها رو تیک تاک‌ در مورد انقلاب ایران و زنان از طرف افغانی ها (خصوصا اونا که خودشون پناهنده و اویزون هستن) زیر پستهای من میاد. بیشترین طرفداران پدرعرفاتی هم همینا هستن #مهسا_امینی #OpIran 
نژادپرستم؟ گوه خوردین",در هر مليت و نژادي يك سري افراد خوب و يك سري افراد بد هستن. اين دليل نمي شود كه همه افراد يك گروه خاص را هدف قرار بدهيم. اتفاقا بايد با گفت و گو با افغاني ها، آنها را آگاه كنيم.,Positive response,گروه ملیتی
"Iran's leader calls for Israel's destruction in Twitter screed on anti-Israel holiday #FoxNews خامته اى بمناسبت روز قدس اسرائيل را يك  غده سرطانى و ويروس كرونا ناميد  كه بايد از ريشه منهدم شود . او گفت "" برخى معتقدند كه اسرائيل يك واقعيتى است كه بايد.....",به جای فراخوان تخریب، بیایید به دنبال صلح و گفت‌وگو باشیم. نفرت و خشونت راه‌حل نیست؛ همزیستی مسالمت‌آمیز آینده‌ای روشن‌تر برای همه می‌سازد.,Positive response,گروه ملیتی
"نژاد پرست ترین مردم دنیا، اسراییلی های صهیونیست هستند که چون خون یهود در رگ های آنهاست به خود اجازه می‌دهند  هر سرزمینی را غصب کنند و هر کسی را با هر سن و جنسیتی بکشند.

#FreePalestine",به نظرم تو كه الان داري نژاد پرستي را به يك گروه خاص تعميم ميكني هم نشان دهنده تعصب بدون منطق و اشتباه هست. دنيا با آرامش و صلح جاي بهتري هست.,"Denouncing, Positive response",گروه ملیتی
"افغانیسم کور، سرکوبگر و خون‌آشام تا کجا پیش می‌رود؟

تاجیک‌کشی، هزاره‌کشی و تحقیر غیرافغان‌ها برای افغانیت نیز [چیزی] غیر از ویران شدن نمی‌آورد.

در این حال و هوا، همزیستی ممکن نیست.

به وحدت ملی افغانی باور نکنیم. وحدت ملی افغانی تنها افزاری است در دست هژمونی فاشیستی یک قوم.",به نظرم بیایید یک دید متفاوت داشته باشیم. نژاد پرستی را کنار بگذاریم و سعی بر ایجاد دوستی و ارتباط با بقیه ملیت ها داشته باشیم.,Positive response,گروه ملیتی
۱- ۱۴۰۰ سال پیش عربهای مسلمان به ایران حمله کردن و پس قتل عام کلیه اقوام ایرانی و غارت اموال ایرانیان و تجاوز به زن و مرد و کودک انها را به بازار برده فروشی بردن. خدا و پیامبر خود را بزور به ایرانیان تحمیل کردن و راز و نیاز با خدایشان را نیز بزبان عربی تحمیل کردن که تا امروز ادامه,آیا بر این باور دارید که تاریخ اکثر مواقع تحریف میشود؟ شما منبع درستی بر این روایت دارید؟,Counter questions,گروه ملیتی
